HCG,m_HCG,RAh,RAm,RAs,DE-,DEd,DEm,DEs,a,b,MType,T,morph,RVhel,e_RVhel,q_RVhel,Bmag,q_Bmag,DBmag,Rmag,q_Rmag,DRmag,B-R,BTmag,BTc,e_BTmag,MB-5log(h),Names
75,e,15,19,20.32,+,21,21,26.0,12.1,5.5,Sa,3,m,12300,300,0,17.1,0,15.1,15.33,0,19.2,1.71,16.93,16.36,0.1,-19.1,--
75,f,15,19,16.09,+,21,21,49.5,6.3,5.2,S0,1,m,13080,67,1,17.33,1,13.1,15.57,1,19.0,1.76,16.99,16.66,0.2,-19.0,--
76,a,15,29,20.8,+,7,28,35.3,24.0,6.3,Sa,3,--,10054,34,0,16.01,0,24.2,14.14,0,33.7,1.79,15.84,15.08,0.1,-20.0,N5944
76,b,15,29,13.51,+,7,30,27.0,20.4,16.4,E2,0,m,10002,30,0,15.23,1,41.1,13.54,1,57.2,1.56,14.74,14.44,0.2,-20.6,--
76,c,15,29,10.12,+,7,28,51.2,21.2,20.2,E0,0,--,10663,29,0,15.63,0,37.1,13.48,0,67.0,1.86,15.03,14.73,0.1,-20.4,N5941
76,d,15,29,15.34,+,7,27,19.5,17.3,14.8,E1,0,--,10150,33,0,16.15,0,28.5,14.08,0,41.5,1.92,15.51,15.21,0.1,-19.8,N5942
76,e,15,29,23.43,+,7,28,46.9,8.2,7.4,SB0,1,--,10328,52,0,17.35,0,15.9,15.71,0,20.1,1.55,16.96,16.65,0.1,-18.4,--
76,f,15,29,12.53,+,7,30,15.0,14.2,9.6,S0,1,m,10216,90,0,17.27,1,20.2,15.71,1,27.1,1.45,16.84,16.48,0.2,-18.6,--
76,g,15,29,8.99,+,7,31,5.5,36.1,6.4,Sc,7,--,9843,81,0,17.65,0,15.7,16.06,0,19.0,1.45,17.3,16.4,0.7,-18.6,--
77,a,15,47,5.96,+,21,58,12.0,26.0,18.4,S0,1,--,10508,56,0,16.38,1,24.4,14.53,1,47.8,1.57,16.14,15.75,0.2,--,U10049
77,b,15,47,5.87,+,21,58,27.4,22.1,13.7,S0,1,--,10690,69,0,16.62,1,20.2,14.64,1,44.5,1.7,16.41,15.99,0.2,--,U10049
77,c,15,47,5.56,+,21,58,56.3,32.4,16.1,Im,12,--,2200,76,0,16.03,1,29.7,15.02,1,34.3,1.06,15.79,15.15,0.2,--,U10049
77,d,15,47,6.13,+,21,58,45.8,11.2,7.7,Im,12,--,2250,63,0,17.42,1,14.5,16.58,1,17.8,0.51,17.04,16.54,0.2,--,U10049
78,a,15,48,4.69,+,68,22,19.2,41.6,18.5,SBb,5,--,8599,31,0,15.01,0,51.1,12.49,0,64.4,1.42,14.87,14.35,0.2,--,U10057
78,b,15,47,55.63,+,68,21,29.6,23.0,7.2,S0,1,--,9544,30,0,15.12,0,25.2,13.66,0,34.7,1.41,15.05,14.61,0.1,--,--
78,c,15,48,29.43,+,68,20,41.5,15.3,4.2,S0,1,--,18200,281,1,18.25,0,15.4,15.73,0,24.1,2.18,18.06,17.59,0.2,--,--
78,d,15,48,20.52,+,68,23,15.8,14.6,9.3,Sm,11,--,10000,187,1,17.23,0,20.7,16.13,0,24.2,0.98,16.61,16.19,0.1,--,--
79,a,15,56,59.59,+,20,53,43.2,50.2,48.6,E0,0,m,4292,35,0,15.12,1,44.7,13.46,1,50.5,1.6,14.7,14.35,0.2,-18.8,N6027 U10116
79,b,15,57,0.8,+,20,54,15.4,60.5,44.1,S0,1,m,4446,25,0,14.55,1,43.0,13.07,1,46.9,1.44,14.19,13.78,0.2,-19.3,N6027 U10116
79,c,15,56,59.14,+,20,54,9.8,40.3,26.1,S0,1,m,4146,50,0,15.48,1,33.8,14.21,1,35.7,1.27,15.15,14.72,0.2,-18.5,N6027 U10116
79,d,15,57,0.18,+,20,53,15.5,28.1,12.3,Sdm,10,m,4503,43,0,16.89,1,23.5,16.74,1,16.1,0.85,16.51,15.87,0.2,-17.4,N6027 U10116
79,e,15,57,1.31,+,20,54,1.5,11.1,8.6,Scd,8,--,19809,50,0,16.61,1,25.1,15.31,1,26.5,1.32,16.31,15.87,0.2,--,N6027 U10116
80,a,15,58,50.69,+,65,22,21.7,25.4,5.4,Sd,9,m,8963,45,0,15.66,0,25.4,14.25,0,29.8,1.38,15.54,14.76,0.1,-20.0,--
80,b,15,58,53.14,+,65,21,46.8,10.2,8.7,Sa,3,--,9584,39,0,16.52,0,22.4,14.97,0,26.9,1.49,16.21,15.92,0.1,-19.0,--
80,c,15,58,38.98,+,65,22,25.8,9.8,8.2,Im,12,m,9550,37,0,16.23,0,21.0,15.24,0,26.6,0.89,16.15,15.83,0.1,-19.1,--
80,d,15,58,43.66,+,65,21,44.0,13.6,5.4,Im,12,--,9108,54,0,17.01,0,19.6,16.19,0,19.1,0.84,16.82,16.18,0.1,-18.6,--
81,a,16,15,53.62,+,12,55,25.4,11.9,4.6,Sc,7,--,14676,46,0,17.11,0,14.2,15.59,0,17.9,1.46,16.98,16.25,0.1,-19.6,U10319
81,b,16,15,53.99,+,12,54,35.1,11.7,5.4,S0,1,--,15150,94,0,17.11,1,15.1,15.59,1,27.5,1.85,17.04,16.51,0.2,-19.4,U10319
81,c,16,15,54.84,+,12,54,50.5,12.6,6.8,S0,1,m,15050,96,0,17.78,1,14.1,15.63,1,24.6,1.89,17.68,17.18,0.2,-18.7,U10319
81,d,16,15,54.54,+,12,54,59.3,7.8,6.9,S0a,2,m,14954,91,0,17.74,1,12.5,15.61,1,22.8,1.87,17.57,17.14,0.2,-18.8,U10319
82,a,16,26,28.51,+,32,57,31.0,24.8,16.9,E3,0,m,11177,30,0,14.94,0,47.7,12.83,0,96.1,1.71,14.51,14.14,0.1,-21.1,N6162 U10403
82,b,16,26,34.1,+,32,57,18.5,24.8,14.7,SBa,3,m,10447,37,0,15.41,0,40.3,13.66,0,49.9,1.67,15.18,14.62,0.1,-20.5,N6163
82,c,16,26,26.6,+,32,55,13.0,24.5,8.5,Im,12,m,10095,38,0,15.74,0,32.9,14.53,0,34.0,1.21,15.61,14.78,0.1,-20.3,N6161
82,d,16,26,22.92,+,32,55,21.6,14.7,5.7,S0a,1,--,11685,46,0,16.72,0,17.1,15.15,0,19.6,1.55,16.61,15.95,0.1,-19.4,--
83,a,16,33,9.41,+,6,22,1.0,7.9,7.9,E0,0,--,15560,60,0,16.83,0,16.9,14.9,0,27.8,1.76,16.45,15.99,0.1,-20.0,--
83,b,16,33,13.35,+,6,21,50.0,8.9,7.0,E2,0,--,16442,69,0,17.04,1,18.1,15.07,1,28.9,1.75,16.5,16.04,0.2,-20.1,--
83,c,16,33,16.31,+,6,22,49.7,7.8,4.2,Scd,8,--,16520,133,0,17.52,0,13.0,16.29,0,15.5,1.16,17.37,16.7,0.1,-19.4,--
83,d,16,33,14.19,+,6,21,37.9,3.7,3.0,Sd,9,--,15500,133,1,19.09,1,7.6,18.05,1,8.3,1.04,18.44,17.91,0.2,-18.1,--
83,e,16,33,11.25,+,6,22,29.4,2.9,2.5,S0,1,--,15560,160,2,19.44,0,6.6,17.51,0,10.5,1.69,18.9,18.4,0.5,-17.6,--
84,a,16,46,43.95,+,77,55,38.8,17.8,14.7,E2,0,m,16654,61,0,15.77,1,32.7,13.99,1,46.1,1.64,14.96,14.66,0.2,-21.5,--
84,b,16,46,35.59,+,77,56,50.7,14.4,6.4,S0,1,--,16554,73,0,16.86,0,17.6,14.97,0,25.7,1.77,16.54,16.1,0.1,-20.0,--
84,c,16,46,51.36,+,77,55,7.8,14.9,7.4,Sa,3,--,16353,71,0,16.82,1,21.7,15.09,1,29.8,1.6,16.21,15.67,0.2,-20.4,--
84,d,16,46,23.83,+,77,56,44.4,8.2,4.6,S0,1,--,16800,92,0,17.54,0,12.8,15.89,0,15.6,1.66,17.2,16.8,0.1,-19.4,--
84,e,16,46,48.57,+,77,55,36.2,4.6,4.6,E0,0,--,16950,81,0,18.0,1,13.8,16.28,1,18.3,1.62,17.19,16.89,0.2,-19.3,--
84,f,16,46,10.16,+,77,56,16.3,6.1,6.1,E0,0,--,32500,100,0,18.42,0,12.4,16.23,0,20.7,1.9,17.22,16.92,0.2,--,--
85,a,18,51,21.97,+,73,17,23.1,16.0,14.7,E1,0,m,11155,38,0,15.77,1,28.7,13.73,1,51.0,1.82,15.47,15.12,0.2,--,--
85,b,18,51,29.97,+,73,17,0.7,13.1,12.3,E1,0,--,12122,36,0,16.26,1,23.7,14.24,1,40.0,1.82,15.97,15.62,0.2,--,--
85,c,18,51,33.22,+,73,17,45.8,9.0,4.1,S0,1,--,11912,47,0,17.65,0,10.3,15.69,0,15.8,1.85,17.47,16.98,0.1,--,--
85,d,18,51,39.84,+,73,17,14.6,6.7,6.4,E0,0,--,11900,96,0,18.12,0,11.8,16.08,0,21.6,1.72,17.36,17.01,0.1,--,--
86,a,19,48,59.87,-,30,57,10.7,25.4,20.3,E2,0,m,6174,39,0,14.63,0,49.4,12.23,0,122.6,1.92,14.3,13.68,0.1,--,--
86,b,19,48,50.03,-,30,56,42.8,22.1,16.6,E2,0,m,6196,45,0,15.13,0,39.0,13.0,0,68.3,1.92,14.8,14.18,0.1,--,--
86,c,19,48,48.25,-,30,59,9.3,17.2,13.3,SB0,1,--,5529,42,0,16.08,0,29.0,13.64,0,48.9,2.2,15.72,15.06,0.1,--,--
86,d,19,48,42.94,-,30,56,15.3,18.7,9.6,S0,1,--,5916,50,0,15.85,0,23.9,14.19,0,35.7,1.66,15.75,15.02,0.1,--,--
87,a,20,45,23.03,-,20,2,5.3,39.8,9.1,Sbc,6,m,8694,35,0,15.41,0,39.7,13.29,0,62.5,1.86,14.95,13.97,0.2,-20.7,--
87,b,20,45,19.03,-,20,2,29.8,17.5,14.1,S0,1,m,8972,65,1,15.6,0,34.3,13.8,0,48.5,1.6,15.6,15.1,0.1,-19.7,--
87,c,20,45,20.15,-,20,1,2.1,21.4,9.1,Sd,9,--,8920,133,1,16.23,0,29.5,14.88,0,34.0,1.28,15.78,15.02,0.1,-19.8,--
87,d,20,45,21.05,-,20,1,53.9,7.8,5.8,Sd,9,--,10200,160,1,17.83,0,13.0,16.34,0,16.4,1.39,17.46,16.89,0.2,-18.2,--
88,a,20,49,56.55,-,5,53,59.7,45.1,20.2,Sb,5,m,6033,25,0,14.22,0,57.3,12.57,0,75.9,1.56,14.02,13.18,0.1,-20.7,N6978
88,b,20,49,50.95,-,5,56,8.5,34.0,26.5,SBb,5,m,6010,22,0,14.28,0,62.2,12.69,0,75.5,1.51,13.88,13.24,0.1,-20.7,N6977
88,c,20,49,47.18,-,5,57,40.8,27.6,21.0,Sc,7,--,6083,26,0,14.95,0,56.1,13.96,0,58.1,0.99,14.52,13.87,0.1,-20.1,N6976
88,d,20,49,33.93,-,5,59,12.7,32.7,8.5,Sc,7,m,6032,59,0,15.96,0,30.6,14.6,0,34.4,1.31,15.52,14.49,0.2,-19.4,N6975
89,a,21,17,24.26,-,4,8,4.4,29.1,16.1,Sc,7,--,8850,61,0,15.5,0,40.9,14.27,0,46.1,1.16,14.8,14.1,0.5,-20.6,--
89,b,21,17,42.47,-,4,6,31.8,20.9,10.2,SBc,7,m,8985,45,0,16.22,0,28.5,15.18,0,30.5,1.01,15.59,14.88,0.2,-19.9,--
89,c,21,17,31.59,-,4,7,48.7,14.4,8.6,Scd,8,--,8872,40,0,16.55,0,24.4,15.39,0,27.0,1.11,16.16,15.52,0.1,-19.2,--
89,d,21,17,31.21,-,4,7,14.6,8.1,5.1,Sm,11,--,8857,32,0,17.16,0,14.9,16.32,0,16.6,0.8,16.92,16.27,0.1,-18.5,--
90,a,21,59,7.58,-,32,6,41.9,71.8,43.2,Sa,3,m,2575,28,0,13.13,0,95.1,11.48,0,112.0,1.6,12.84,12.36,0.07,-19.7,N7172
90,b,21,59,14.08,-,32,13,56.1,39.9,36.4,E0,0,--,2525,29,0,12.66,1,86.9,10.89,1,135.7,1.64,12.88,12.57,0.13,-19.5,N7176
90,c,21,59,8.78,-,32,12,57.7,36.6,30.4,E0,0,m,2696,24,0,14.03,1,47.2,11.25,1,173.5,2.23,13.04,12.73,0.06,-19.3,N7173
90,d,21,59,11.6,-,32,14,8.8,69.3,26.3,Im,12,m,2778,29,0,14.37,1,55.0,12.13,1,98.8,1.83,13.54,12.81,0.15,-19.4,N7174
91,a,22,6,17.17,-,28,3,19.9,43.2,35.0,SBc,7,m,6832,40,0,13.57,1,77.2,12.43,1,94.9,1.09,13.0,12.62,0.13,-21.6,N7214
91,b,22,6,26.02,-,27,58,37.6,28.0,5.1,Sc,7,m,7196,66,0,15.8,0,27.2,14.34,0,31.3,1.43,15.53,14.63,0.2,-19.7,--
91,c,22,6,23.7,-,28,1,41.4,23.9,16.4,Sc,7,--,7319,49,0,15.39,0,41.8,14.24,0,47.6,1.08,14.91,14.47,0.2,-19.9,--
91,d,22,6,18.12,-,28,2,47.6,13.4,10.2,SB0,1,m,7195,41,0,15.48,1,25.8,13.91,1,36.7,1.37,15.34,14.99,0.2,-19.3,--
92,a,22,33,45.95,+,33,41,20.6,69.8,44.2,Sd,9,--,786,20,0,13.47,1,84.1,12.38,1,86.4,1.09,13.28,12.53,0.09,--,N7320 U12101
92,b,22,33,41.05,+,33,42,23.7,66.6,32.9,Sbc,6,m,5774,24,0,14.06,1,70.1,12.47,1,90.0,1.43,14.01,13.18,0.13,--,N7318B U12100
92,c,22,33,46.33,+,33,42,57.4,52.8,41.5,SBc,7,m,6764,28,0,14.25,1,83.2,12.65,1,81.5,1.62,14.0,13.33,0.1,--,N7319 U12102
92,d,22,33,39.4,+,33,42,22.3,36.6,30.7,Sc,7,m,6630,23,0,14.47,1,57.8,13.13,1,68.2,1.23,14.28,13.63,0.08,--,N7318A U12099
92,e,22,33,34.71,+,33,41,7.0,22.9,21.2,E1,0,--,6599,26,0,14.93,1,50.0,12.72,1,62.5,1.16,14.6,14.01,0.08,--,N7317
93,a,23,12,46.8,+,18,41,19.2,36.2,33.4,E1,0,m,5140,31,0,13.48,0,95.9,11.85,0,104.7,1.6,12.95,12.61,0.1,-21.0,N7550 U12456
93,b,23,12,48.0,+,18,46,7.6,57.4,19.5,SBd,9,m,4672,38,0,14.13,0,64.1,12.79,0,72.2,1.3,13.9,13.18,0.1,-20.2,N7594 U12457
93,c,23,12,34.43,+,18,42,1.3,35.9,15.9,SBa,3,m,5132,33,0,14.87,0,41.4,12.92,0,68.3,1.79,14.56,13.94,0.1,-19.6,N7547 U12453
93,d,23,13,3.91,+,18,46,30.1,16.9,16.5,SB0,1,--,5173,34,0,15.85,0,27.6,13.9,0,41.3,1.83,15.61,15.27,0.1,-18.3,--
93,e,23,13,9.07,+,18,38,47.9,27.1,21.8,Sa,3,--,8881,39,0,16.02,0,30.1,13.85,0,55.0,1.87,15.82,15.4,0.1,--,--
94,a,23,14,44.0,+,18,26,4.4,25.9,23.9,E1,0,m,12040,42,0,14.66,1,63.7,12.93,1,73.3,1.67,14.25,13.91,0.2,-21.5,N7578B U12477
94,b,23,14,42.5,+,18,25,39.5,17.3,12.8,E3,0,m,11974,37,0,15.28,1,50.5,13.54,1,61.3,1.63,14.87,14.53,0.2,-20.9,N7578A U12478
94,c,23,14,50.82,+,18,27,39.7,20.1,8.6,S0,1,m,12120,52,0,16.38,0,22.4,14.43,0,32.6,1.83,16.06,15.58,0.1,-19.9,--
94,d,23,14,45.75,+,18,26,18.7,9.3,5.8,S0,1,m,13009,42,0,16.52,1,26.7,14.8,1,31.4,1.65,16.21,15.79,0.2,-19.8,--
94,e,23,14,46.0,+,18,27,12.1,14.8,3.7,Sd,9,m,12250,103,0,18.15,0,12.1,16.37,0,15.8,1.66,17.72,16.9,0.2,-18.6,--
94,f,23,14,49.1,+,18,27,57.0,7.0,5.0,S0,1,--,12920,108,0,18.16,0,11.0,16.22,0,17.2,1.76,18.18,17.78,0.1,--,--
94,g,23,14,50.51,+,18,28,32.6,5.9,3.3,S0,1,--,13200,114,0,18.57,0,8.4,16.64,0,13.1,1.76,18.4,17.96,0.1,--,--
95,a,23,16,58.17,+,9,14,2.9,26.3,19.5,E3,0,m,11888,45,0,15.23,1,37.3,13.43,1,49.1,1.7,14.71,14.42,0.2,-21.0,N7609
95,b,23,17,2.04,+,9,13,16.0,20.7,8.9,Scd,8,m,11637,48,0,16.12,0,25.1,14.63,0,29.9,1.44,15.93,15.34,0.1,-20.0,--
95,c,23,16,56.13,+,9,13,14.0,28.4,9.4,Sm,11,m,11562,40,0,16.38,1,26.3,14.66,1,37.2,1.51,15.93,15.2,0.2,-20.1,--
95,d,23,16,59.31,+,9,13,44.2,22.1,4.4,Sc,7,m,12350,97,0,17.23,0,16.9,15.37,0,22.0,1.77,17.0,16.14,0.1,-19.3,--
96,a,23,25,24.61,+,8,30,9.9,33.3,30.6,Sc,7,m,8698,25,0,14.01,1,61.6,12.64,1,73.8,1.33,13.84,13.53,0.2,-21.2,N7674 Mk533 U12608
96,b,23,25,33.75,+,8,29,34.5,18.7,14.1,E2,0,m,8616,42,0,15.04,0,39.7,13.2,0,60.7,1.68,14.77,14.49,0.1,-20.2,--
96,c,23,25,26.52,+,8,30,26.4,12.2,8.8,Sa,3,m,8753,35,0,16.1,1,19.8,14.38,1,26.1,1.61,16.09,15.69,0.2,-19.0,--
96,d,23,25,27.9,+,8,29,30.7,6.6,3.7,Im,12,m,8975,57,0,17.13,0,13.2,16.1,0,15.9,0.97,17.1,16.56,0.1,-18.2,--
97,a,23,44,49.08,-,2,34,43.9,45.9,25.0,E5,0,m,6910,25,0,14.27,1,68.9,12.75,1,115.8,1.76,14.41,14.16,0.2,-20.1,I5357
97,b,23,45,3.87,-,2,35,42.3,34.1,9.1,Sc,7,--,6940,72,0,15.86,0,30.2,14.17,0,39.7,1.57,15.54,14.83,0.1,-19.4,I5359
97,c,23,44,49.78,-,2,37,45.6,23.3,14.8,Sa,3,--,5995,35,0,15.11,0,35.5,13.51,0,48.9,1.51,14.95,14.54,0.1,-19.4,I5356
97,d,23,44,44.94,-,2,35,28.3,28.3,24.7,E1,0,--,6239,33,0,14.95,0,41.9,12.66,1,105.4,1.5,14.7,14.45,0.1,-19.5,I5351
97,e,23,44,45.87,-,2,33,32.1,11.6,9.8,S0a,2,--,6579,45,0,16.75,1,17.1,14.81,1,30.1,1.67,16.61,16.31,0.2,-17.8,--
98,a,23,51,36.36,+,0,6,16.3,45.8,22.1,SB0,1,m,7855,20,0,14.14,1,65.4,12.43,1,85.3,1.6,14.04,13.67,0.2,--,N7783A U12837a
98,b,23,51,38.49,+,0,5,54.1,21.3,15.4,S0,1,m,7959,26,0,15.16,1,33.9,13.41,1,49.8,1.58,15.99,15.69,0.2,--,N7783B U12837b
98,c,23,51,40.14,+,0,4,43.4,8.7,6.7,E2,0,--,8145,33,0,16.59,0,15.4,14.85,0,25.4,1.62,16.42,16.17,0.1,--,--
98,d,23,51,36.98,+,0,6,56.9,8.2,8.2,Sc,7,--,14950,67,0,16.94,0,15.3,15.93,0,16.4,1.0,17.46,17.21,0.1,--,--
99,a,23,58,4.56,+,28,6,23.9,34.7,15.2,Sa,3,--,8705,20,0,14.98,1,42.6,13.25,1,48.2,1.7,14.62,13.97,0.2,-20.7,U12897
99,b,23,58,13.5,+,28,7,24.7,24.8,22.1,E2,0,--,8846,30,0,15.0,1,40.0,13.05,1,64.0,1.76,14.39,14.03,0.2,-20.7,U12899
99,c,23,58,10.6,+,28,7,23.0,9.4,6.1,SB0a,2,--,8216,34,0,15.85,1,35.9,13.9,1,54.3,1.76,15.36,14.87,0.2,-19.7,--
99,d,23,58,11.69,+,28,5,35.9,21.5,13.9,S0a,2,--,8643,82,0,17.44,0,15.8,15.65,0,21.3,1.67,17.22,16.73,0.1,-18.0,--
99,e,23,58,8.92,+,28,5,27.2,11.3,8.9,S0,1,--,9007,96,0,17.84,0,11.1,16.07,0,16.0,1.65,17.68,17.28,0.1,--,--
100,a,23,58,46.33,+,12,49,57.2,33.2,19.0,Sb,5,m,5300,27,0,14.2,0,48.9,12.62,0,61.7,1.53,14.13,13.66,0.1,-20.0,N7803 U12906
100,b,23,58,52.35,+,12,50,3.8,17.3,15.7,Sm,11,m,5253,37,0,15.4,0,33.0,14.28,0,38.8,1.05,15.21,14.9,0.1,-18.7,Mk0934
100,c,23,58,39.75,+,12,51,56.1,22.1,9.6,SBc,7,m,5461,38,0,16.01,0,31.4,15.46,0,31.3,1.23,15.78,15.22,0.1,-18.5,--
100,d,23,58,41.0,+,12,50,3.3,16.0,6.1,Scd,8,m,--,--,--,16.97,0,19.3,14.67,0,40.2,1.18,16.58,15.97,0.1,-17.8,--
