NUM,NGC/Other Cat.,NGC/IC,Con,RA,DEC,VMAG,BMAG,Stars,Size,Class,n
237,3496,NGC3496,Car,10h 59m 33.8s,"-60? 20' 12""",8.2,,45,9,Praes,
238,3532,NGC3532,Car,11h 05m 47.5s,"-58? 46' 13""",3,,135,55x50,Praes,
239,3572,NGC3572,Car,11h 10m 19.2s,"-60? 14' 54""",6.6,,nl,6,Plei,23
240,,,Car,11h 10m 19.2s,"-60? 14' 54""",n/a,n/a,20,n/a,Plei,23
241,Tr.18,,Car,11h 11m 28.0s,"-60? 40' 00""",6.9,,10,6,Plei,
242,3590,NGC3590,Car,11h 12m 59.0s,"-60? 47' 20""",8.2,,15,4,Plei,
243,Tr.19,,Car,11h 15m 07.0s,"-57? 33' 00""",9.6,,(40),10,Praes,24
244,3603,NGC3603,Car,11h 15m 06.6s,"-61? 15' 40""",9.1,,(44),2.5,Praes,
245,IC2714,IC2714,Car,11h 18m 08.0s,"-62? 44' 21""",8,,120,15,Praes,
246,Mel.105,,Car,11h 19m 42.0s,"-63? 29' 00""",8.5,,40¡À,5,Praes,
247,3680,NGC3680,Cen,11h 25m 37.1s,"-43? 15' 00""",7.6,,25,12,Praes,
248,3766,NGC3766,Cen,11h 36m 14.4s,"-61? 36' 36""",5.3,,137,12,Praes,
249,,,Cen,11h 36m 52.0s,"-63? 04' 24""",4,,25,65,Neb,
250,3960,NGC3960,Cen,11h 50m 33.2s,"-55? 40' 35""",8.3,,60,6,Praes,
251,4052,NGC4052,Cru,12h 02m 05.2s,"-63? 13' 24""",8.8,,60,10,Plei,
252,4103,NGC4103,Cru,12h 06m 39.5s,"-61? 15' 00""",7.4,,20¡À,6,Plei,
253,4230,NGC4230,Cen,12h 17m 09.3s,"-55? 17' 10""",9.4,,(15),7x5,Plei,
254,4337,NGC4337,Cru,12h 24m 03.3s,"-58? 07' 25""",8.9,,20,3.5,Plei,25
255,4349,NGC4349,Cru,12h 24m 06.0s,"-61? 52' 13""",7.4,,70,15,Praes,
256,Mel.111,,Com,12h 25m 00.0s,"+26? 00' 00""",1.8,,30,275,Plei,
257,,,Cru,12h 24m 45.9s,"-60? 53' 12""",nl,nl,12,5,Plei,26
258,Harv.5,,Cru,12h 27m 10.0s,"-60? 46' 00""",7.1,,(25),5,Plei,26
259,4439,NGC4439,Cru,12h 28m 26.3s,"-60? 06' 11""",8.4,,(20),4,Plei,
260,4463,NGC4463,Mus,12h 29m 55.2s,"-64? 47' 23""",7.2,,18¡À,5,Plei,
261,Harv.6,,Mus,12h 37m 57.0s,"-68? 22' 00""",10.7,,(100),9,Praes,
262,Tr.20,,Cru,12h 39m 34.0s,"-60? 37' 00""",10.1,,nl,7,Praes,
263,4609,NGC4609,Cru,12h 42m 19.9s,"-62? 59' 38""",6.9,,12,5,Plei,
264,4755,NGC4755,Cru,12h 53m 37.1s,"-60? 21' 22""",4.2,,(218),10,Plei,27
265,4815,NGC4815,Mus,12h 57m 58.3s,"-64? 57' 42""",8.6,,(100),3,Praes,28
266,4852,NGC4852,Cen,13h 00m 14.5s,"-59? 36' 58""",8.9,,20,11,Plei,
267,5053,NGC5053,Com,13h 16m 27.0s,"+17? 41' 52""",9,,nl,11,Praes,29
268,(Harvard 8),,Mus,13h 18m 13.0s,"-67? 05' 00""",9.5,,30,5,Plei,
269,,,Mus,13h 23m 31.0s,"-66? 10' 48""",,9.2,nl,15,Plei,30
270,5138,NGC5138,Cen,13h 27m 15.2s,"-59? 02' 27""",7.6,,15,7,Plei,
271,,,Cen,13h 29m 54.0s,"-64? 12' 00""",8.7,,16,5,Plei,
272,,,Cen,13h 30m 26.0s,"-61? 19' 00""",7.7,,15,10,Plei,
273,5168,NGC5168,Cen,13h 31m 07.3s,"-60? 56' 21""",9.1,,(50),4,Praes,
274,Tr.21,,Cen,13h 32m 14.0s,"-62? 48' 00""",7.7,,(20),5,Praes,
275,,,Cen,13h 34m 39.0s,"-60? 12' 00""",10.2,,(20),11,Plei,
276,5281,NGC5281,Cen,13h 46m 35.1s,"-62? 54' 59""",5.9,,(40),8,Plei,
277,,,Cir,13h 48m 00.0s,"-66? 04' 00""",9.2,,(30),15,Praes,
278,5288,NGC5288,Cir,13h 48m 44.9s,"-64? 41' 07""",11.8,,nl,4,Plei,
279,5316,NGC5316,Cen,13h 53m 57.2s,"-61? 52' 09""",6,,22,13,Plei,
280,5460,NGC5460,Cen,14h 07m 27.7s,"-48? 20' 33""",5.6,,50,35,Praes,
281,5606,NGC5606,Cen,14h 27m 47.2s,"-59? 37' 56""",7.7,,(15),3,Plei,
282,5617,NGC5617,Cen,14h 29m 44.0s,"-60? 42' 39""",6.3,,60,10,Praes,
283,Tr.22,,Cen,14h 31m 02.0s,"-61? 10' 00""",7.9,,15,10,Plei,31
284,5662,NGC5662,Cen,14h 35m 37.5s,"-56? 37' 05""",5.5,,35,30,Plei,
285,Ursa Major,,Uma,12h 03m 00.0s,"+58? 00' 00""",nl,nl,nl,nl,nl,
286,5715,NGC5715,Cir,14h 43m 29.7s,"-57? 34' 37""",9.8,,20,5,Praes,
287,5749,NGC5749,Lup,14h 48m 53.9s,"-54? 29' 51""",8.8,,16,7,Plei,
288,5764,NGC5764,Lup,14h 53m 32.2s,"-52? 40' 14""",12.6,,12,3,nl,
289,5822,NGC5822,Lup,15h 04m 21.2s,"-54? 23' 47""",6.5,,100,39,Plei,
290,5823,NGC5823,Cir,15h 05m 30.6s,"-55? 36' 13""",7.9,,30,12,Plei,
291,5925,NGC5925,Nor,15h 27m 26.7s,"-54? 31' 43""",8.4,,45,20,Plei,
292,,,Nor,15h 49m 51.0s,"-57? 37' 11""",7.9,,(50),15,Plei,
293,5999,NGC5999,Nor,15h 52m 08.6s,"-56? 28' 22""",9,,40,3,Praes,
294,6005,NGC6005,Nor,15h 55m 48.7s,"-57? 26' 14""",10.7,,14,3,Praes,32
295,Tr.23,,Nor,16h 00m 48.0s,"-53? 32' 00""",11.2,,25,9,Plei,
296,6025,NGC6025,TrA,16h 03m 17.0s,"-60? 25' 54""",5.1,,25,12,Plei,
297,6031,NGC6031,Nor,16h 07m 35.0s,"-54? 00' 54""",8.5,,(121),2,Plei,
298,6067,NGC6067,Nor,16h 13m 11.0s,"-54? 13' 06""",5.6,,115,12,Praes,
299,Harv.10,,Nor,16h 19m 54.0s,"-54? 58' 00""",,6.9,24,25,Plei,
300,6087,NGC6087,Nor,16h 18m 50.5s,"-57? 56' 04""",5.4,,30,12,Plei,
301,6124,NGC6124,Sco,16h 25m 20.0s,"-40? 39' 13""",5.8,,60,40,Praes,
302,Antares Cl.,,Sco,16h 26m 00.0s,"-26? 13' 00""",1,,20¡À,505,Neb,
303,6134,NGC6134,Nor,16h 27m 46.5s,"-49? 09' 04""",7.2,,45,6,Praes,
304,6152,NGC6152,Nor,16h 32m 45.5s,"-52? 38' 38""",8.1,,35,29,Praes,
305,6167,NGC6167,Nor,16h 34m 34.9s,"-49? 46' 19""",6.7,,40,7,Plei,
306,6169,NGC6169,Nor,16h 34m 04.6s,"-44? 02' 44""",6.6,,(40),12,¦ÌNorm,
307,,,Nor,16h 35m 20.0s,"-51? 00' 00""",9.2,,22,5,Plei,
308,6178,NGC6178,Sco,16h 35m 47.2s,"-45? 38' 37""",7.2,,7,4,Plei,
309,6192,NGC6192,Sco,16h 40m 23.8s,"-43? 22' 00""",8.5,,25,7,Praes,
310,6193,NGC6193,Ara,16h 41m 20.2s,"-48? 45' 45""",5.2,,25,14,Plei,
311,6200,NGC6200,Ara,16h 44m 07.3s,"-47? 27' 45""",7.4,,40,12,Plei,
312,6204,NGC6204,Ara,16h 46m 09.5s,"-47? 01' 01""",8.2,,20,5,Praes,
313,6208,NGC6208,Ara,16h 49m 28.1s,"-53? 43' 42""",7.2,,40,15,Praes,
314,6222,NGC6222,Sco,16h 49m 23.5s,"-44? 43' 53""",10.1,,22,4,Praes,33
315,6231,NGC6231,Sco,16h 54m 10.9s,"-41? 49' 27""",2.6,,(93),14,Plei,
316,,,Sco,16h 55m 30.0s,"-40? 50' 00""",6.6,,60,105,Plei,34
317,6242,NGC6242,Sco,16h 55m 33.4s,"-39? 27' 39""",6.4,,50,9,Praes,
318,Tr.24,,Sco,16h 57m 00.0s,"-40? 40' 00""",,8.6,15,60,Plei,
319,6249,NGC6249,Sco,16h 57m 41.5s,"-44? 48' 43""",8.2,,18,6,Plei,
320,6250,NGC6250,Ara,16h 57m 56.0s,"-45? 56' 12""",5.9,,10,7,Plei,
321,6253,NGC6253,Ara,16h 59m 05.1s,"-52? 42' 32""",10.2,,25,5,Praes,
322,6259,NGC6259,Sco,17h 00m 45.3s,"-44? 39' 18""",8,,60,10,Praes,
323,6268,NGC6268,Sco,17h 02m 10.3s,"-39? 43' 42""",9.5,,22,6,Plei,
324,6281,NGC6281,Sco,17h 04m 41.2s,"-37? 59' 07""",5.4,,25,8,Plei,
325,6318,NGC6318,Sco,17h 16m 11.5s,"-39? 25' 30""",11.8,,20¡À,5,Praes,
326,6322,NGC6322,Sco,17h 18m 25.7s,"-42? 56' 02""",6,,12¡À,10,Plei,
327,IC4651,IC4651,Ara,17h 25m 14.0s,"-49? 57' 35""",6.9,,65,10,Praes,
328,6352,NGC6352,Ara,17h 25m 29.1s,"-48? 25' 22""",7.8,,nl,7.1,Glob,35
329,Tr.25,,Sco,17h 24m 48.0s,"-30? 00' 00""",,11.7,18¡À,4,Plei,
330,6355,NGC6355,Oph,17h 23m 58.5s,"-26? 21' 13""",8.6,,nl,5,Glob,36
331,Tr.26,,Oph,17h 28m 30.0s,"-29? 29' 00""",,9.5,20,17,Plei,
332,,,Sco,17h 30m 48.0s,"-37? 05' 00""",8.9,,25,2,Plei,
333,,,Sco,17h 31m 18.0s,"-34? 05' 00""",,9.8,8,5,Plei,
334,6374 (6383),NGC6374,Sco,17h 34m 42.4s,"-32? 34' 53""",5.5,5.5,10,2.5,Plei,37
335,6383,NGC6383,Sco,17h 34m 42.4s,"-32? 34' 53""",5.5,,10,2.5,¦ÌNorm,37
336,Tr.27,,Sco,17h 36m 12.0s,"-33? 29' 00""",6.7,,15,6,Plei,
337,Tr.28,,Sco,17h 36m 48.0s,"-32? 29' 00""",7.7,,22,12.5,Praes,
338,,,Sco,17h 38m 06.0s,"-37? 43' 12""",8,,20,20,Plei,
339,6396,NGC6396,Sco,17h 37m 38.0s,"-35? 01' 33""",8.5,,8,nl,Plei,38
340,6404,NGC6404,Sco,17h 39m 37.3s,"-33? 14' 48""",10.6,,12,5,Plei,
341,6405 (M6),NGC6405,Sco,17h 40m 20.7s,"-32? 15' 15""",4.2,,55,33,Plei,
342,6400,NGC6400,Sco,17h 40m 12.7s,"-36? 56' 52""",8.8,,25,12,Plei,
343,Tr.29,,Sco,17h 41m 36.0s,"-40? 06' 00""",,7.5,22,9,Plei,
344,6416,NGC6416,Sco,17h 44m 19.9s,"-32? 21' 40""",5.7,,35,30,Plei,
345,,,Sco,17h 44m 35.0s,"-33? 52' 00""",10.9,,12,4.8,Plei,
346,6426,NGC6426,Oph,17h 44m 54.6s,"+03? 10' 13""",10.9,,nl,4.2,Praes,39
347,,,Oph,17h 46m 18.0s,"-29? 20' 00""",8.8,,14,10,Plei,
348,6425,NGC6425,Sco,17h 47m 01.6s,"-31? 31' 46""",7.2,,25,15,Plei,
349,IC4665,IC4665,Oph,17h 46m 18.0s,"+05? 43' 00""",4.2,,28,40,Plei,
350,,,Oph,17h 48m 07.0s,"+01? 21' 00""",6.1,,25,40,Plei,
351,,,Sgr,17h 49m 04.0s,"-28? 45' 00""",9.3,,22,8,Plei,
352,6451,NGC6451,Sco,17h 50m 40.6s,"-30? 12' 42""",8.2,,40,7,Praes,
353,6469,NGC6469,Sgr,17h 53m 12.1s,"-22? 16' 30""",8.2,,35,8,Plei,
354,6475 (M7),NGC6475,Sco,17h 53m 51.1s,"-34? 47' 34""",3.3,,60,80,Plei,
355,Tr.30,,Sco,17h 56m 30.0s,"-35? 19' 00""",,8.8,50,10,Plei,
356,6494 (M23),NGC6494,Sgr,17h 57m 04.7s,"-18? 59' 07""",5.5,,85,30,Praes,
357,Tr.31,,Sgr,17h 59m 49.0s,"-28? 10' 00""",9.8,,42,5,Plei,
358,6507,NGC6507,Sgr,17h 59m 50.7s,"-17? 27' 01""",9.6,,16,6,Plei,
359,Melotte 186,,Oph,18h 01m 06.0s,"+02? 54' 00""",3,,15,240,Plei,
360,6514,NGC6514,Sgr,18h 02m 20.9s,"-23? 01' 38""",6.3,,40,30,Neb,
361,6520,NGC6520,Sgr,18h 03m 25.1s,"-27? 53' 28""",7.6,,20,6,Plei,
362,6530,NGC6530,Sgr,18h 04m 31.0s,"-24? 21' 29""",4.6,,20,14,Neb,
363,6531 (M21),NGC6531,Sgr,18h 04m 13.4s,"-22? 29' 24""",5.9,,25¡À,13,Plei,
364,6540,NGC6540,Sgr,18h 06m 08.5s,"-27? 45' 55""",14.6,,nl,1.5,Praes,
365,6546,NGC6546,Sgr,18h 07m 22.5s,"-23? 17' 46""",8,,20,15,Praes,
366,6544,NGC6544,Sgr,18h 07m 20.5s,"-24? 59' 51""",7.5,,nl,8.9,Glob,41
367,,,Sgr,18h 09m 43.0s,"-23? 39' 35""",6.4,6.4,10,40,Neb,
368,6558,NGC6558,Sgr,18h 10m 18.3s,"-31? 45' 49""",8.6,,nl,3.7,Praes,42
369,6568,NGC6568,Sgr,18h 12m 45.1s,"-21? 34' 59""",8.6,,29,12,Plei,
370,6583,NGC6583,Sgr,18h 15m 49.9s,"-22? 08' 09""",10,,30¡À,5,Praes,
371,6595,NGC6595,Sgr,18h 17m 16.0s,"-19? 44' 30""",7,,12,4x3,Neb,43
372,Tr.32,,SerCD,18h 17m 10.4s,"-13¡ã 20' 40""",,12.2,20,6,Praes,
373,6604,NGC6604,SerCD,18h 18m 02.9s,"-12? 14' 35""",6.5,,10¡À,4,¦ÌNorm,
374,6603,NGC6603,Sgr,18h 18m 26.9s,"-18? 24' 22""",11.1,,(100),5,Praes,44
375,6611 (M16),NGC6611,SerCD,18h 18m 48.1s,"-13? 48' 26""",6,,30,21,Neb,
376,6613 (M18),NGC6613,Sgr,18h 19m 58.4s,"-17? 06' 07""",6.9,,14,10,Plei,
377,6618,NGC6618,Sgr,18h 21m 09.0s,"-16? 10' 36""",6,,27,27,Neb,45
378,Tr.33,,Sgr,18h 24m 42.0s,"-19? 43' 00""",7.8,,10,6,Plei,
379,6631,NGC6631,Sct,18h 27m 11.3s,"-12? 01' 52""",11.7,,20¡À,7,Praes,
380,6633,NGC6633,Oph,18h 27m 15.2s,"+06? 30' 30""",4.6,,30,20,Plei,
381,6642,NGC6642,Sgr,18h 31m 54.3s,"-23? 28' 35""",8.9,,nl,5.8,Glob,46
382,IC4725 (M25),IC4725,Sgr,18h 31m 36.0s,"-19? 15' 00""",4.6,,60,32,Praes,
383,6645,NGC6645,Sgr,18h 32m 37.9s,"-16? 53' 02""",8.5,,100,15,Praes,
384,6649,NGC6649,Sct,18h 33m 27.9s,"-10? 24' 10""",8.9,,15,5,Praes,
385,6664,NGC6664,Sct,18h 36m 33.3s,"-08? 13' 15""",7.8,,28,16,Praes,
386,IC4756,IC4756,Ser,18h 39m 00.0s,"+05? 27' 00""",4.6,,120,52,Praes,
387,Tr.34,,Sct,18h 39m 48.0s,"-08? 29' 00""",8.6,,20,7,Plei,47
388,Tr.35,,Sct,18h 42m 54.0s,"-04? 08' 00""",9.2,,25,9,Plei,
389,6694 (M26),NGC6694,Sct,18h 45m 18.6s,"-09? 23' 01""",8,,18,14,Praes,
390,6704,NGC6704,Sct,18h 50m 45.7s,"-05? 12' 20""",9.2,,20,6,Plei,
391,6705 (M11),NGC6705,Sct,18h 51m 05.9s,"-06? 16' 12""",5.8,,100¡À,13,Glob,48
392,6709,NGC6709,Aql,18h 51m 18.9s,"+10? 19' 07""",6.7,,40,13,Praes,
393,6716,NGC6716,Sgr,18h 54m 34.3s,"-19? 54' 04""",7.5,,15,6,Plei,
394,,,Sgr,18h 52m 28.0s,"-20? 59' 28""",6.3,,22,22,Praes,
395,6717,NGC6717,Sgr,18h 55m 05.9s,"-22? 42' 06""",8.4,,nl,3.9,Glob,49
396,6738,NGC6738,Aql,19h 01m 21.5s,"+11? 36' 56""",8.3,,20,15,Plei,
397,6755,NGC6755,Aql,19h 07m 49.0s,"+04? 15' 59""",7.5,,25,14,Plei,
398,6756,NGC6756,Aql,19h 08m 42.5s,"+04? 42' 21""",10.6,,(40),4,Praes,
399,4-5 Vul.,,Vul,19h 25m 24.0s,"+20? 11' 00""",3.6,,15,60,Plei,50
400,6802,NGC6802,Vul,19h 30m 35.0s,"+20? 15' 39""",8.8,,201,5,Plei,
401,,,Aql,19h 38m 24.0s,"-00? 20' 00""",,7,8¡À,1,¦ÌNorm,
402,6811,NGC6811,Cyg,19h 37m 17.9s,"+46? 23' 20""",6.8,,40,12,Praes,
403,6819,NGC6819,Cyg,19h 41m 18.0s,"+40? 11' 12""",7.3,,929,5,Plei,
404,6820,NGC6820,Vul,19h 42m 27.9s,"+23? 05' 17""",,14.9,6,0.8,Neb,51
405,6823,NGC6823,Vul,19h 43m 09.8s,"+23? 18' 00""",7.1,,13,12,Plei,
406,6830,NGC6830,Vul,19h 50m 59.5s,"+23? 06' 00""",7.9,,15,12,Plei,
407,6834,NGC6834,Cyg,19h 52m 12.5s,"+29? 24' 29""",7.8,,40,5,Praes,
408,Harv.20,,Sge,19h 53m 06.0s,"+18? 20' 00""",7.7,,20,9,Plei,
409,6838,NGC6838,Sge,19h 53m 46.1s,"+18? 46' 42""",8.4,,150¡À,7.2,Glob,52
410,6846,NGC6846,Cyg,19h 56m 28.0s,"+32? 20' 59""",14.2,,(40),0.5,Plei,
411,Mel.227,,Oct,20h 17m 19.0s,"-79? 02' 00""",5.3,,20,70,Plei,
412,6866,NGC6866,Cyg,20h 03m 55.1s,"+44? 09' 33""",7.6,,20,6,Plei,
413,6871,NGC6871,Cyg,20h 05m 59.3s,"+35? 46' 38""",5.2,,45,30,Plei,
414,IC1311,IC1311,Cyg,20h 10m 48.0s,"+41? 11' 00""",,13.1,(60),9,Glob,53
415,6883,NGC6883,Cyg,20h 11m 19.7s,"+35? 49' 56""",8,,18,35,Plei,
416,6882,NGC6882,Vul,20h 11m 55.8s,"+26? 29' 20""",8.1,,20,20,Plei,54
417,6885,NGC6885,Vul,20h 11m 55.8s,"+26? 29' 20""",8.1,,40,20,Plei,54
418,IC4996,IC4996,Cyg,20h 16m 31.7s,"+37? 38' 35""",7.3,,12,5,Plei,
419,,,Cyg,20h 18m 06.0s,"+40? 43' 00""",7.6,,16,4.5,¦ÌNorm,
420,6910,NGC6910,Cyg,20h 23m 12.0s,"+40? 46' 43""",7.4,,16,7,Plei,
421,,,Cyg,20h 23m 18.0s,"+41? 42' 00""",,10.1,20,5,Praes,
422,6913 (M29),NGC6913,Cyg,20h 23m 57.7s,"+38? 30' 28""",6.6,,15,6,Plei,
423,6939,NGC6939,Cep,20h 31m 30.1s,"+60? 39' 44""",7.8,,40,7,Praes,
424,6940,NGC6940,Vul,20h 34m 26.6s,"+28? 16' 58""",6.3,,90,31,Praes,
425,6996,NGC6996,Cyg,20h 56m 29.9s,"+45? 28' 23""",10,,20,5,Neb,55
426,6994 (M73),NGC6994,Aqr,20h 58m 55.9s,"-12? 38' 08""",8.9,,(4),2.8,Glob,56
427,,,Cep,20h 59m 30.0s,"+68? 10' 00""",13.8,,6,4,Plei,
428,,,Cyg,21h 03m 12.0s,"+44? 35' 00""",,8.7,40,13,Neb,
429,7023,NGC7023,Cep,21h 01m 35.5s,"+68? 10' 11""",nl,nl,nl,18,Neb,57
430,7031,NGC7031,Cyg,21h 07m 12.5s,"+50? 52' 32""",9.1,,15,5,Plei,
431,7039,NGC7039,Cyg,21h 10m 47.7s,"+45? 37' 19""",7.6,,35,25,Plei,
432,IC1369,IC1369,Cyg,21h 12m 06.0s,"+47? 44' 00""",8.8,,10,8,Plei,
433,7044,NGC7044,Cyg,21h 13m 09.3s,"+42? 29' 46""",12,,40,3.5,Praes,
434,7062,NGC7062,Cyg,21h 23m 27.4s,"+46? 22' 43""",8.3,,10,6,Praes,
435,7063,NGC7063,Cyg,21h 24m 21.7s,"+36? 29' 15""",7,,10,7,Plei,
436,7067,NGC7067,Cyg,21h 24m 23.1s,"+48? 00' 34""",9.7,,(47),3,Praes,
437,7086,NGC7086,Cyg,21h 30m 27.5s,"+51? 36' 08""",8.4,,20,9,Praes,
438,7092 (M39),NGC7092,Cyg,21h 31m 48.3s,"+48? 26' 55""",4.6,,22,31,Plei,
439,IC1396,IC1396,Cep,21h 39m 06.0s,"+57? 30' 00""",3.5,,35,50,Plei,
440,7128,NGC7128,Cyg,21h 43m 57.7s,"+53? 42' 55""",9.7,,10,3.1,Plei,
441,7129,NGC7129,Cep,21h 42m 58.9s,"+66? 06' 47""",,11.5,7,7,Plei,
442,7142,NGC7142,Cep,21h 45m 09.4s,"+65? 46' 28""",9.3,,12,4.3,Plei,
443,7160,NGC7160,Cep,21h 53m 40.2s,"+62? 36' 12""",6.1,,16,7,Plei,
444,7209,NGC7209,Lac,22h 05m 07.8s,"+46? 29' 01""",7.7,,30,25,Praes,
445,IC1434,IC1434,Lac,22h 10m 30.0s,"+52? 50' 00""",,9,30,7,Praes,
446,7226,NGC7226,Cep,22h 10m 26.9s,"+55? 23' 55""",9.6,,(83),2,Praes,
447,7235,NGC7235,Cep,22h 12m 24.9s,"+57? 16' 17""",7.7,,12,4,Plei,
448,7243,NGC7243,Lac,22h 15m 08.5s,"+49? 53' 51""",6.4,,40,21,Plei,
449,7245,NGC7245,Lac,22h 15m 11.5s,"+54? 20' 33""",9.2,,(169),5,Plei,
450,7261,NGC7261,Cep,22h 20m 11.3s,"+58? 07' 19""",8.4,,18,5,Plei,
451,7296,NGC7296,Lac,22h 28m 02.8s,"+52? 17' 21""",9.7,,10,3,Plei,
452,7380,NGC7380,Cep,22h 47m 20.9s,"+58? 07' 57""",7.2,,20,12,Plei,
453,7419,NGC7419,Cep,22h 54m 20.0s,"+60? 48' 56""",13,,(40),6,Praes,
454,7510,NGC7510,Cep,23h 11m 03.7s,"+60? 34' 15""",7.9,,10¡À,7,Plei,
455,7654 (M52),NGC7654,Cas,23h 24m 50.4s,"+61? 36' 24""",6.9,,35,16,Praes,
456,7686,NGC7686,And,23h 30m 07.3s,"+49? 08' 03""",5.6,,20,14,Plei,58
457,7762,NGC7762,Cep,23h 50m 01.7s,"+68? 02' 17""",,10,(40),15,Praes,
458,Harv.21,,Cas,23h 54m 06.0s,"+61? 46' 00""",,9,10¡À,6,Plei,59
459,7788,NGC7788,Cas,23h 56m 45.5s,"+61? 24' 00""",9.4,,15,4,Plei,
460,7789,NGC7789,Cas,23h 57m 24.0s,"+56? 42' 30""",6.7,,100,25,Praes,
461,7790,NGC7790,Cas,23h 58m 24.2s,"+61? 12' 30""",8.5,,18,5,Plei,
462,189,NGC189,Cas,00h 39m 35.7s,"+61? 05' 40""",8.8,,(90),5,Plei,
463 (20a),,,Cas,01h 48m 24.0s,"+71? 57' 00""",nl,nl,nl,nl,Plei,
464 (60a),,,Cam,05h 22m 00.0s,"+73? 00' 00""",,4.2,nl,120,Plei,
465 (127a),,,Mon,07h 07m 12.0s,"-10? 37' 00""",,10.1,nl,9,Praes,
466 (127b),,,Mon,07h 07m 18.0s,"-10? 49' 00""",,11.1,(25),4,Praes,
467 (156a),(Mel 72 per A/H),,Mon,07h 38m 29.0s,"-10? 33' 00""",10.1,,(40),5,Praes,15
468 (364a),,,Sgr,18h 06m 36.0s,"-27? 28' 00""",11,,8,0.9,Plei,
469 (370a),,,Sgr,18h 16m 33.0s,"-18? 18' 34""",9.1,,(51),2.6,Plei,
470,IC5146,IC5146,Cyg,21h 53m 24.0s,"+47? 16' 00""",7.2,,(110),9,Neb,
471 (444a),,,Cep,22h 07m 06.0s,"+72? 00' 00""",nl,nl,nl,130,Plei,
