HCG,z,n,log(sV),log(V),log(R),log(Ho.tc),log(Mv),log(Mp),log(Ma),log(Mm),log(M),log(L),log(M/L),log(rho)
1,0.0339,4,1.93,2.12,1.69,-1.32,44.61,45.2,45.33,45.3,45.25,37.37,1.17,-24.91
2,0.0144,3,1.74,1.88,1.72,-1.06,44.12,44.82,44.73,44.99,44.78,36.98,1.08,-25.47
3,0.0255,3,2.4,2.63,1.89,-1.64,45.95,46.34,46.19,46.58,46.27,37.0,2.56,-24.48
4,0.028,3,2.53,2.76,1.76,-1.9,46.06,46.52,46.36,46.73,46.45,37.37,2.36,-23.91
5,0.041,3,2.17,2.39,1.41,-1.88,44.96,45.48,45.37,45.88,45.43,37.41,1.3,-23.88
6,0.0379,4,2.4,2.63,1.4,-2.12,45.42,45.76,45.87,45.84,45.8,37.31,1.78,-23.49
7,0.0141,4,1.95,2.16,1.66,-1.4,44.71,45.2,45.28,45.23,45.21,37.34,1.15,-24.86
8,0.0545,4,2.65,2.89,1.46,-2.32,46.09,46.24,46.39,46.54,46.33,37.88,1.73,-23.14
10,0.0161,4,2.32,2.56,1.97,-1.48,45.79,46.05,46.13,46.42,46.09,37.49,1.89,-24.9
12,0.0485,5,2.38,2.62,1.77,-1.73,45.75,46.11,46.31,45.94,46.03,37.45,1.87,-24.37
13,0.0411,5,2.26,2.44,1.67,-1.66,45.3,45.64,45.88,45.9,45.78,37.47,1.59,-24.32
14,0.0183,3,2.52,2.76,1.43,-2.22,45.88,45.3,46.26,46.41,46.34,36.84,2.78,-23.04
15,0.0228,6,2.63,2.86,1.89,-1.87,46.29,46.64,47.01,47.03,46.86,37.36,2.79,-23.88
16,0.0132,4,2.09,2.31,1.65,-1.56,44.96,45.4,45.54,45.41,45.41,37.34,1.35,-24.63
17,0.0603,5,2.12,2.18,1.35,-1.73,44.58,44.75,45.1,44.59,44.59,37.22,0.65,-24.56
20,0.0484,5,2.44,2.67,1.5,-2.07,45.62,45.74,46.1,45.61,45.69,37.08,1.89,-23.89
21,0.0251,3,2.05,2.27,2.13,-1.03,45.52,46.0,45.89,46.42,45.95,37.43,1.8,-25.54
22,0.009,3,1.64,1.25,1.43,-0.72,42.74,43.55,43.8,44.48,43.7,36.88,0.1,-25.67
23,0.0161,4,2.23,2.44,1.82,-1.52,45.51,45.9,45.99,46.02,45.95,36.82,2.41,-25.59
24,0.0305,5,2.3,2.51,1.47,-1.93,45.3,45.54,45.84,45.29,45.44,37.12,1.6,-24.07
25,0.0212,4,1.79,2.13,1.68,-1.16,44.22,44.74,44.85,44.94,44.8,37.11,0.97,-25.33
26,0.0316,7,2.3,2.52,1.5,-1.92,45.13,45.56,45.98,45.63,45.6,37.03,1.85,-23.99
27,0.0874,4,2.09,2.1,2.03,-0.97,44.99,45.59,45.6,45.75,45.6,37.42,1.46,-25.57
28,0.038,3,1.93,--,1.34,-1.7,44.55,44.81,44.75,45.15,44.78,37.25,0.82,-24.34
29,0.1047,3,2.61,2.85,1.48,-2.26,45.96,46.46,46.29,46.55,46.38,37.48,2.19,-23.13
30,0.0154,4,1.86,2.04,1.71,-1.22,44.55,44.95,44.97,45.11,44.96,37.21,1.03,-25.26
31,0.0137,3,1.75,1.82,0.91,-1.8,43.23,43.93,43.9,44.27,43.91,37.12,0.08,-23.92
32,0.0408,4,2.32,2.55,1.79,-1.66,45.65,46.1,46.12,45.87,46.0,37.68,1.61,-24.45
33,0.026,4,2.19,2.42,1.39,-1.92,45.03,45.13,45.35,45.5,45.26,36.88,1.66,-24.0
34,0.0307,4,2.5,2.74,1.19,-2.44,45.47,45.85,45.98,45.95,45.9,37.19,2.0,-22.77
35,0.0542,6,2.5,2.74,1.65,-1.98,45.88,46.39,46.64,46.2,46.31,37.68,1.91,-23.74
37,0.0223,5,2.6,2.84,1.46,-2.27,45.93,46.19,46.48,46.3,46.25,37.44,2.09,-23.21
38,0.0292,3,1.11,--,1.77,0.88,--,--,--,--,--,37.12,--,--
39,0.0701,4,2.3,2.52,1.44,-1.98,45.3,45.78,45.78,45.84,45.78,37.33,1.73,-23.61
40,0.0223,5,2.17,2.4,1.18,-2.12,44.84,45.29,45.48,45.23,45.26,37.39,1.16,-23.36
42,0.0133,4,2.33,2.56,1.65,-1.81,45.48,45.84,45.95,45.82,45.83,37.42,1.69,-24.2
43,0.033,5,2.35,2.58,1.77,-1.7,45.75,46.15,46.35,46.06,46.11,37.21,2.19,-24.3
44,0.0046,4,2.13,2.34,1.58,-1.65,45.04,45.43,45.5,45.57,45.47,36.85,1.9,-24.37
45,0.0732,3,2.26,2.49,2.02,-1.36,45.85,46.1,46.04,46.52,46.07,37.6,1.75,-25.08
46,0.027,4,2.51,2.75,1.6,-2.04,45.78,46.19,46.33,46.12,46.15,36.76,2.68,-23.74
47,0.0317,4,1.63,--,1.56,0.66,--,43.54,43.98,--,43.81,37.17,-0.07,-26.95
48,0.0094,3,2.48,2.7,1.31,-2.29,45.65,46.14,46.02,46.38,46.08,36.52,2.84,-22.93
49,0.0332,4,1.53,--,1.09,0.19,--,--,--,--,--,36.82,--,--
50,0.1392,5,2.67,2.91,1.59,-2.21,46.22,46.54,46.73,46.48,46.51,37.43,2.37,-23.33
51,0.0258,5,2.38,2.61,1.77,-1.73,45.51,46.14,46.33,45.81,46.01,37.43,1.86,-24.41
52,0.043,3,2.26,2.47,1.94,-1.43,45.55,46.19,46.07,46.48,46.14,37.38,2.04,-24.76
53,0.0206,3,1.91,2.0,1.76,-1.14,44.3,44.99,44.99,44.5,44.81,37.35,0.74,-25.56
54,0.0049,4,2.05,2.26,0.2,-2.96,43.5,44.02,44.04,43.67,43.88,35.66,1.51,-21.8
55,0.0526,4,2.33,2.52,1.28,-2.13,45.13,45.58,45.69,45.42,45.51,37.44,1.35,-23.41
56,0.027,5,2.23,2.45,1.33,-2.02,44.97,45.44,45.58,45.21,45.34,37.2,1.42,-23.74
57,0.0304,7,2.43,2.66,1.86,-1.69,45.8,46.37,46.68,46.1,46.26,37.71,1.84,-24.42
58,0.0207,5,2.21,2.44,1.95,-1.39,45.64,46.13,46.26,45.73,45.98,37.53,1.73,-24.97
59,0.0135,4,2.28,2.51,1.33,-2.07,45.15,45.61,45.62,45.46,45.54,36.67,2.15,-23.54
60,0.0625,4,2.63,2.85,1.75,-1.99,46.18,46.65,46.69,46.75,46.67,37.75,2.21,-24.67
61,0.013,3,1.94,2.16,1.46,-1.6,44.56,45.05,44.92,45.43,44.99,37.11,1.16,-24.46
62,0.0137,4,2.46,2.69,1.43,-2.16,45.43,45.87,45.88,45.86,45.87,37.02,2.13,-23.51
63,0.0311,3,2.12,2.16,1.65,-1.41,44.73,45.2,45.23,45.23,45.22,37.53,0.97,-24.81
64,0.036,3,2.33,2.55,1.41,-2.03,45.15,45.79,45.62,45.51,45.57,37.16,1.69,-23.76
65,0.0475,5,2.51,2.74,1.66,-1.97,45.74,46.19,46.44,46.11,46.15,38.08,1.36,-23.93
66,0.0699,4,2.48,2.72,1.51,-2.1,45.68,46.2,46.19,46.19,46.19,37.68,1.79,-23.44
67,0.0245,4,2.32,2.56,1.69,-1.76,45.42,46.06,46.11,46.0,46.03,37.65,1.67,-24.14
68,0.008,5,2.19,2.42,1.52,-1.79,45.11,45.36,45.55,45.68,45.47,37.27,1.48,-24.18
69,0.0294,4,2.35,2.58,1.48,-1.99,45.31,45.77,45.84,45.53,45.67,37.2,1.76,-23.88
70,0.0636,4,2.16,2.31,1.86,-1.34,45.23,45.69,45.8,45.67,45.68,37.63,1.34,-24.99
71,0.0301,3,2.62,2.85,1.7,-2.04,46.27,46.69,46.55,47.05,46.62,37.4,2.51,-23.57
72,0.0421,4,2.42,2.66,1.55,-2.0,45.59,46.12,46.18,46.04,46.08,37.73,1.64,-23.66
73,0.0449,3,2.09,2.13,2.0,-1.02,45.1,45.55,45.6,45.87,45.57,36.89,1.97,-25.51
74,0.0399,5,2.5,2.73,1.59,-2.03,45.75,46.2,46.41,46.56,46.32,37.62,1.99,-23.55
75,0.0416,6,2.47,2.66,1.57,-1.98,45.52,46.14,46.35,45.13,45.93,37.55,1.67,-23.87
76,0.034,7,2.39,2.62,1.86,-1.65,45.75,46.18,46.53,46.07,46.13,37.59,1.82,-24.54
79,0.0145,4,2.14,2.36,0.83,-2.43,44.44,44.86,44.88,44.79,44.83,36.9,1.21,-22.74
80,0.031,4,2.43,2.67,1.4,-2.16,45.58,45.95,45.94,46.17,45.94,37.13,2.1,-23.34
81,0.0499,4,2.25,2.43,1.26,-2.06,44.89,45.55,45.59,45.4,45.48,37.13,1.64,-23.39
82,0.0362,4,2.79,3.03,1.85,-2.07,46.61,47.06,47.02,47.06,47.04,37.62,2.7,-23.6
83,0.0531,5,2.66,2.89,1.7,-2.08,46.19,46.61,46.79,46.74,46.68,37.31,2.66,-23.5
84,0.0556,5,2.31,2.52,1.77,-1.64,45.42,45.96,46.04,45.73,45.86,37.75,1.39,-24.55
85,0.0393,4,2.56,2.8,1.39,-2.3,45.87,46.27,46.29,46.41,46.28,37.25,2.32,-22.98
86,0.0199,4,2.43,2.66,1.67,-1.89,45.8,46.16,46.24,46.24,46.2,37.24,2.25,-23.9
87,0.0296,3,2.08,2.16,1.49,-1.56,44.65,44.85,44.95,45.47,44.91,37.35,0.84,-24.64
88,0.0201,4,1.43,--,1.83,0.94,--,--,--,--,--,37.53,--,--
89,0.0297,4,1.74,1.72,1.77,-0.84,43.9,44.79,44.93,44.98,44.86,37.33,0.81,-25.54
90,0.0088,4,2.0,2.22,1.47,-1.65,44.39,45.1,45.06,44.94,45.0,37.19,1.09,-24.49
91,0.0238,4,2.26,2.48,1.72,-1.66,45.35,45.86,45.9,45.47,45.71,37.62,1.37,-24.55
92,0.0215,4,2.59,2.83,1.45,-2.27,45.78,46.01,46.21,45.95,45.98,37.62,1.64,-23.47
93,0.0168,4,2.32,2.55,1.85,-1.59,45.78,46.05,46.15,46.3,46.1,37.45,1.93,-24.55
94,0.0417,7,2.68,2.92,1.76,-2.05,46.28,46.78,47.1,46.66,46.72,37.8,2.2,-23.66
95,0.0396,4,2.49,2.72,1.48,-2.13,45.72,45.96,46.11,45.95,45.99,37.53,1.7,-23.59
96,0.0292,4,2.12,2.34,1.48,-1.76,44.97,45.33,45.43,45.44,45.38,37.49,1.17,-24.15
97,0.0218,5,2.57,2.8,1.8,-1.9,46.14,46.55,46.74,46.51,46.53,37.28,2.54,-23.95
98,0.0266,3,2.08,2.31,1.44,-1.76,44.83,45.42,45.27,45.43,45.35,37.26,1.37,-24.06
99,0.029,5,2.42,2.65,1.63,-1.91,45.66,46.03,46.19,45.82,45.93,37.52,1.7,-24.05
100,0.0178,3,1.95,2.15,1.58,-1.46,44.69,45.25,45.12,45.44,45.19,36.97,1.5,-24.65
