RefNo,Text
1,"B.A.VORONTSOV-VELYAMINOV,A.A.KRASNOGORSKAJA,V.P.ARKHIPOVA,"
1,"MOSCOW STATE UNIVERSITY, MOSCOW,VOL.1-4,1962,1963,"
1,"1964,1968,"
1,MORPHOLOGICAL CATALOGUE OF GALAXIES.
1,(magnitudes estimated from the blue prints of PA)
2,"F.ZWICKY,E.HERZOG,P.WILD,M.KARPOWICZ,C.KOWAL,   CALIFORNIA"
2,"INSTITUTE OF TECHNOLOGY,PASADENA,VOL.1-6,1961,"
2,"1963,1965,1966,1968A,1968B,"
2,CATALOGUE OF GALAXIES AND OF CLUSTERS OF GALAXIES.
2,(photographic magnitudes)
3,"E.HOLMBERG,   MEDD.LUNDS ASTR.OBS.,VOL.136,1958,PP1-102,"
3,A PHOTOGRAPHIC PHOTOMETRY OF EXTRAGALACTIC NEBULAE
3,(photographic magnitudes)
4,"M.L.HUMASON,N.U.MAYALL,A.R.SANDAGE,   ASTRON.J.,VOL.61,"
4,"1956,PP97-161,"
4,REDSHIFTS AND MAGNITUDES OF EXTRAGALACTIC NEBULAE.
4,(photoelectric magnitudes)
5,"E.PETTIT,   ASTROPHYS.J.,VOL.120,1954,PP413-438,"
5,MAGNITUDES AND COLOR INDICES OF EXTRAGALACTIC
5,NEBULAE DETERMINED PHOTOELECTRICALLY
5,(photoelectric magnitudes)
6,"H.SHAPLEY,A.AMES   ANN.HARV.COLL.OBS.,VOL.88,1932,PP43-75,"
6,A SURVEY OF THE EXTERNAL GALAXIES BRIGHTER THAN
6,THE THIRTEENTH MAGNITUDE.
6,(photographic magnitudes)
7,"E.HOLMBERG,   ANN.OBS.LUND,VOL.6,1937,PP1-167,"
7,A STUDY OF DOUBLE AND MULTIPLE GALAXIES
7,(photographic magnitudes)
8,"A.REIZ,   ANN.OBS.LUND,VOL.9,1941,PP1-94,"
8,A STUDY OF EXTERNAL GALAXIES WITH SPECIAL REGARD
8,TO THE DISTRIBUTION PROBLEM.
8,(photographic magnitudes)
9,"J.H.BIGAY,   ANN.ASTROPHYS.,VOL.14,1951,PP319-382,"
9,PHOTOMETRIE PHOTOGRAPHIQUE DES NEBULEUSES
9,EXTRAGALACTIQUES.
9,(photographic magnitudes)
10,"P.NILSON,   UPPSALA ASTR.OBS.ANN.,VOL.1,1973,PP1-456,"
10,UPPSALA GENERAL CATALOGUE OF GALAXIES.
10,(visual estimations of magnitudes)
11,"B.A.VORONTSOV-VELYAMINOV,   SOOBSHCH.GOS.ASTR.INST.P.K."
11,"STERNBERGA,VOL.166,1970,PP3-18,"
11,MASSES AND INTERNAL MOTIONS IN GALAXIES.CRITICAL
11,SUMMARY.
11,(rotational velocity)
12,"N.U.MAYALL,P.O.LINDBLAD,   ASTRON.ASTROPHYS.,VOL.8,1970,"
12,"PP364-374,"
12,MEAN ROTATIONAL VELOCITIES OF 56 GALAXIES.
12,(rotational velocity)
13,"W.G.TIFFT,   ASTRON.J.,VOL.66,1961,PP390-404,"
13,MULTICOLOR PHOTOELECTRIC PHOTOMETRY OF BRIGHT
13,GALAXIES.I.
13,"W.G.TIFFT,   ASTRON.J.,VOL.68,1963,PP302-318,"
13,MULTICOLOR PHOTOELECTRIC PHOTOMETRY OF BRIGHT
13,GALAXIES.II.
13,(U-B and B-V colors)
14,"J.STEBBINS,A.E.WHITFORD,   ASTROPHYS.J.,VOL.108,1948,"
14,"PP413-428,"
14,SIX-COLOR PHOTOMETRY OF STARS.VI. THE COLORS OF
14,EXTRAGALACTIC NEBULAE.
14,"J.STEBBINS,A.E.WHITFORD,   ASTROPHYS.J.,VOL.115,1952,"
14,"PP284-300,"
14,MAGNITUDES AND COLORS OF 176 EXTRAGALACTIC NEBULAE
14,(U-B and B-V colors)
15,"P.W.HODGE,   ASTR.J.,VOL.68,1963,PP237-241,"
15,INTEGRATED UBV PHOTOMETRY OF EARLY-TYPE GALAXIES.
15,(U-B and B-V colors)
16,"D.W.WEEDMAN,   ASTROPHYS.J.,VOL.171,1972,PP5-12,"
16,EMISSION-LINE INTENSITIES AND UBV MAGNITUDES FOR
16,TWENTY-THREE MARKARIAN GALAXIES
16,"D.W.WEEDMAN,E.YE.KHACHIKIAN,   ASTROFIZIKA,VOL.4,1968,"
16,"PP587-594,"
16,SPECTRAL OBSERVATIONS OF MARKARIAN GALAXIES WITH
16,ULTRAVIOLET CONTINUUM.I.
16,"D.W.WEEDMAN,E.YE.KHACHIKIAN,   ASTROFIZIKA,VOL.5,1969,"
16,"PP113-122,"
16,SPECTRAL OBSERVATIONS OF MARKARIAN GALAXIES WITH
16,ULTRAVIOLET CONTINUUM.II.
16,(U-B and B-V colors)
17,"E.A.DIBAY,   ASTROFIZIKA,VOL.6,1970,PP350-354,"
17,THE ESTIMATION OF BRIGHTNESS OF SELECTED MARKARIAN
17,GALAXIES.
17,(U-B and B-V colors)
18,"C.J.WEBB,   ASTRON.J.,VOL.69,1964,PP442-446,"
18,INTEGRATED UBV PHOTOMETRY OF MEMBERS OF THE LEO
18,GROUP OF GALAXIES.
18,(U-B and B-V colors)
19,"W.L.W.SARGENT,   ASTROPHYS.J.,VOL.160,1970,PP405-427,"
19,A SPECTROSCOPIC SURVEY OF COMPACT AND PECULIAR
19,GALAXIES.
19,(U-B and B-V colors)
20,"D.L.DUPUY,   ASTRON.J.,VOL.75,1970,PP1143-1147,"
20,NEW OBSERVATIONS OF BLUE HARO GALAXIES.
20,(U-B and B-V colors)
21,"G.DE VAUCOULEURS,A.DE VAUCOULEURS,"
21,"THE UNIVERSITY OF TEXAS PRESS,AUSTIN,1964,"
21,REFERENCE CATALOGUE OF BRIGHT GALAXIES.
21,"(U-B and B-V colors, radial velocities)"
21,"G.DE VAUCOULEURS,A.DE VAUCOULEURS,   MEM.RAS,VOL.77,1972,"
21,"PP1-53,"
21,INTEGRATED MAGNITUDES AND COLORS OF BRIGHT GALAXIE
21,S INTO THE UBV SYSTEM.
21,(U-B and B-V colors)
21,"A.DE VAUCOULEURS,G.DE VAUCOULEURS,   ASTRON.J.,VOL.72,1967,"
21,"PP730-737,"
21,NEW REDSHIFTS OF BRIGHT GALAXIES.
21,(radial velocities observed and corrected for solar motion)
22,"B.E.WESTERLUND,J.V.WALL,   ASTRON.J.,VOL.74,1969,PP335-351,"
22,"THREE-COLOR PHOTOMETRY OF SOUTHERN QSO'S, RADIO"
22,GALAXIES AND NORMAL GALAXIES.
22,(U-B and B-V colors)
23,"E.C.KINTNER,   ASTRON.J.,VOL.76,1971,PP409-411,"
23,NEW RADIAL VELOCITIES OF GALAXIES FROM IMAGE-TUBE
23,SPECTRA.
23,(radial velocities observed and corrected for solar motion)
24,"M.-H.J.ULRICH,   ASTROPHYS.J.,VOL.163,1971,PP441-447,"
24,SPECTROGRAPHIC OBSERVATIONS OF TWENTY-EIGHT
24,MARKARIAN GALAXIES.
24,(radial velocities corrected for solar motion)
25,"G.CHINCARINI,H.J.ROOD,   ASTRON.J.,VOL.77,1972,PP4-8,"
25,RADIAL VELOCITIES OF GALAXIES.
25,(radial velocities observed and corrected for solar motion)
26,"L.BOTTINELLI,P.CHAMARAUX,L.GOUGUENHEIM,R.LAUQUE,   ASTRON."
26,"ASTROPHYS.,VOL.6,1970,PP453-459,"
26,MEASUREMENTS OF NEUTRAL ATOMIC HYDROGEN IN
26,RELATIVELY EARLY TYPE GALAXIES.
26,(radial velocities observed and corrected for solar motion)
27,"W.L.W.SARGENT,   ASTROPHYS.J.,VOL.159,1970,PP765-772,"
27,THE SPECTRA AND REDSHIFTS OF THIRTY MARKARIAN
27,GALAXIES WITH ULTRAVIOLET CONTINUA.
27,(radial velocities corrected for solar motion)
27,"W.L.W.SARGENT,   ASTROPHYS.J.,VOL.173,1972,PP7-24,"
27,THE SPECTRA OF 80 GALAXIES IN MARKARIAN'S SECOND
27,LIST AND THE SPACE DENSITY OF THE MARKARIAN
27,GALAXIES.
28,"T.PAGE,   ASTROPHYS.J.,VOL.116,1952,PP63-80,"
28,RADIAL VELOCITIES AND MASSES OF DOUBLE GALAXIES.
28,(radial velocities observed and corrected for solar motion)
29,"E.K.DENISYUK,   ASTRON.CIRK.,VOL.615,1971,PP4-6,"
29,SPECTRAL OBSERVATIONS OF MARKARIAN GALAXIES.I.
29,"E.K.DENISYUK,   ASTRON.CIRK.,VOL.621,1971,PP7-8,"
29,SPECTRAL OBSERVATIONS OF MARKARIAN GALAXIES.II.
29,(radial velocities observed and corrected for solar motion)
30,"R.BARBON,   KITT PEAK NAT.OBS.CONTR.,VOL.436,1969,"
30,"PP211-221,"
30,SPECTROSCOPIC AND PHOTOGRAPHIC OBSERVATIONS OF
30,COMPACT GALAXIES.I.
30,"R.BARBON,   KITT PEAK NAT.OBS.CONTR.,VOL.510,1969,"
30,"PP559-574,"
30,SPECTROSCOPIC AND PHOTOGRAPHIC OBSERVATIONS OF
30,COMPACT GALAXIES.II.
30,(radial velocities observed and corrected for solar motion)
31,"G.J.CARRANZA,   OBSERVATORY,VOL.87,1967,PP38-40,"
31,RADIAL VELOCITIES OF SOUTHERN GALAXIES.
31,(radial velocities observed and corrected for solar motion)
32,"P.W.HODGE,A.E.MERCHANT,   ASTROPHYS.J.,VOL.144,1966,"
32,PP875-885
32,PHOTOMETRY OF SO GALAXIES.II.
32,(radial velocities corrected for solar motion)
33,"K.RUDNICKI,I.TARRARO,   ACTA ASTR.,VOL.19,1969,"
33,PP171-172
33,REDSHIFTS OF SIX GALAXIES IN THE VICINITY OF THE
33,COMA CLUSTER.
33,(observed radial velocities)
34,"M.L.DE JONG,   ASTROPHYS.J.,VOL.150,1967,PP1-8,"
34,RADIO OBSERVATIONS OF GALAXIES.
34,(radio emission at 2695 MHz)
35,"D.H.ROGSTAD,R.D.EKERS,   ASTROPHYS.J.,VOL.157,1969,"
35,"PP481-494,"
35,RADIO SOURCES AND ELLIPTICAL GALAXIES.
35,(radio emission at 2640 MHz and 1400 MHz)
36,"D.S.HEESCHEN,   PUBL.NAT.RADIO ASTR.OBS.,VOL.1,1961,"
36,"PP129-154,"
36,RADIO OBSERVATIONS OF GALAXIES.
36,"(radio emission at 3000,1400,750 and 440 MHz)"
37,"H.M.TOVMASSIAN,   AUSTR.J.PHYS.,VOL.19,1966,PP883-892,"
37,RADIO EMISSION OF THE NUCLEI OF BARRED SPIRAL
37,GALAXIES.
37,"H.M.TOVMASSIAN,   AUSTR.J.PHYS.,VOL.21,1968,PP193-200,"
37,RADIO EMISSION OF 158 GALAXIES.
37,"(radio emission at 2695,1400 and 400 MHz)"
38,"D.S.HEESCHEN,   ASTR.J.,VOL.75,1970,PP523-528,"
38,RADIO OBSERVATIONS OF E AND SO GALAXIES.
38,(radio emission at 4995 MHz and 2695 MHz)
39,"V.N.KURILCHIK,G.A.SYTSKO,   ASTR.ZHURN.AKAD.NAUK SSSR,"
39,"VOL.42,1965,PP531-536,"
39,THE RADIO EMISSION OF GALAXIES AT 32 CM.
39,"V.N.KURILCHIK,   ASTR.ZHURN.AKAD.NAUK SSSR,VOL.43,1966,"
39,"PP3-6,"
39,RADIO EMISSION OF GALAXIES AT 32 AND 8 CM.
39,(radio emission at 3700 and 920 MHz)
40,"V.N.KURILCHIK,L.V.ONISHCHENKO,V.M.TUREVSKY,   ASTRON.ZHURN."
40,"AKAD.NAUK SSSR,VOL.44,1967,PP665-667,"
40,RADIO RADIATION OF NORMAL GALAXIES AT 8 CM.
40,(radio emission at 3700 MHz)
41,"J.WHITEOAK,   ASTROPHYS.LETTERS,VOL.5,1970,PP29-32,"
41,OBSERVATIONS OF NORMAL GALAXIES AT 5000 MHZ.
41,(radio emission at 5010 MHz)
42,"K.R.LANG,I.TERZIAN,   ASTROPHYS.LETTERS,VOL.3,1969,PP29-31,"
42,RADIO EMISSION OF NORMAL GALAXIES.
42,(radio emission at 611 MHz and 430 MHz)
43,"D.S.HEESCHEN,C.M.WADE,   ASTR.J.,VOL.69,1964,PP277-287,"
43,A RADIO SURVEY OF GALAXIES.
43,(radio emission at 1400 MHz and 750 MHz)
44,"O.DE LA BEAUJARDIERE,I.KAZES,A.M.LE SQUEREN,NGUYEN-QUANG-"
44,"RIEU,   ANN.ASTROPHYS.,VOL.31,1968,PP387-400,"
44,ETUDE DES GALAXIES NORMALES SUR 1415 MHZ.I.
44,OBSERVATIONS DE GALAXIES NORMALES A 1415 MHZ.
44,(radio emission at 1415 MHz)
45,"J.LEQUEUX,   ASTRON.ASTROPHYS.,VOL.15,1971,PP30-41,"
45,THE RADIO CONTINUUM OF GALAXIES.I.OBSERVATIONS.
45,(radio emission at 1420 MHz)
46,"J.L.CASWELL,D.WILLS,   MON.NOT.R.ASTR.SOC.,VOL.135,1967,"
46,"PP231-242,"
46,IDENTIFICATIONS OF RADIO SOURCES WITH BRIGHT
46,GALAXIES.
46,(radio emission at 178 MHz)
47,"KO AIZU,   PUBL.ASTR.SOC.JUPAN,VOL.18,1966,PP219-228,"
47,A SEARCH FOR IDENTIFICATION OF SOME RADIO SOURCES
47,IN THE FIRST SECTION OF THE 4C CATALOGUE WITH
47,GALAXIES.
47,(radio emission at 178 MHz)
48,"M.J.CAMERON,J.R.GLANFIELD,MON.NOT.R.ASTR.SOC.,VOL.141,1968,"
48,"PP145-164,"
48,FAN BEAM OBSERVATIONS OF BRIGHT GALAXIES AT 408MHZ
48,"M.J.CAMERON,   MON.NOT.R.ASTR.SOC.,VOL.152,1971,PP403-428,"
48,PENCIL-BEAM OBSERVATIONS OF BRIGHT GALAXIES AT
48,408 MHZ
48,(radio emission at 408 MHz)
49,"H.M.JONSON,J.M.MACLEOD,   PASP,VOL.75,1963,PP123-132,"
49,THE SPATIAL DISTRIBUTION OF SUPERNOVAE IN GALAXIES
49,"F.ZWICKY,J.BERGER,H.S.GATES,K.RUDNICKI,   PASP,VOL.75,1963,"
49,"PP236-238,"
49,THE 1962 PALOMAR SUPERNOVA SEARCH.
49,"F.ZWICKY,   PASP,VOL.76,1964,PP325-327,"
49,THE 1963 PALOMAR SUPERNOVA SEARCH.
49,"F.ZWICKY,   PASP,VOL.77,1965,PP456-460,"
49,THE 1964 PALOMAR SUPERNOVA SEARCH.
49,"F.ZWICKY,   PASP,VOL.78,1966,PP471-473,"
49,THE 1965 PALOMAR SUPERNOVA SEARCH.
49,"F.ZWICKY,   PASP,VOL.79,1967,PP456-459,"
49,THE 1966 PALOMAR SUPERNOVA SEARCH.
49,"F.ZWICKY,   PASP,VOL.80,1968,PP462-465,"
49,THE 1967 PALOMAR SUPERNOVA SEARCH.
49,"M.KARPOWICZ,K.RUDNICKI,PUBL.ASTRON.OBS.,WARSAW UNIVERS.,"
49,"VOL.15,1968,"
49,PRELIMINARY CATALOGUE OF SUPERNOVAE.
49,"F.ZWICKY,W.L.W.SARGENT,C.KOWAL,   PASP,VOL.81,1969"
49,"PP224-229,"
49,THE 1968 PALOMAR SUPERNOVA SEARCH.
49,"C.KOWAL,W.L.W.SARGENT,F.ZWICKY,   PASP,VOL.82,1970,"
49,"PP736-740,"
49,THE 1969 PALOMAR SUPERNOVA SEARCH.
49,"CHECK-SEN CHAI,S.VAN DEN BERGH,   ASTR.  J.,VOL.75,1970,"
49,"PP672-673,"
49,SUPERNOVAE IN A RANDOM SAMPLE OF GALAXIES.
49,(year of supernova burst)
50,"A.T.KALLOGLIAN,H.M.TOVMASSIAN,   SOOBSHCH.BYURAK.OBS.,"
50,"VOL.36,1964,PP31-43,"
50,THE NUCLEI OF BARRED GALAXIES.
50,"H.M.TOVMASSIAN,   ASTROFIZIKA,VOL.1,1965,PP197-202,"
50,ON THE NUCLEI OF BARRED GALAXIES.
50,"H.M.TOVMASSIAN,   ASTROFIZIKA,VOL.2,1966.PP317-323,"
50,THE NUCLEI OF SOUTHERN BARRED GALAXIES.
50,"H.M.TOVMASSIAN,   ASTROFIZIKA,VOL.3,1967,PP427-429,"
50,ON IRREGULAR GALAXIES OF M82 TYPE.
50,"H.M.TOVMASSIAN,   ASTROFIZIKA,VOL.3,1967,PP555-564,"
50,ON RADIO EMISSION OF SPIRAL GALAXIES.
50,"C.A.SAHAKIAN,   ASTROFIZIKA,VOL.4,1968,PP41-57,"
50,ON THE CENTRAL CONDENSATIONS IN 56 GALAXIES.
50,"S.G.ISKUDARIAN,   ASTROFIZIKA,VOL.4,1968,PP385-408,"
50,THE NUCLEI OF SC GALAXIES.
50,"K.A.SAHAKIAN,   ASTROFIZIKA,VOL.5,1969,PP593-602,"
50,ON THE CENTRAL CONDENSATIONS IN SA GALAXIES.
50,(nuclear galaxy classification by Byurakan system)
51,"J.L.SERSIC,   OBSERVATORY,VOL.79,1959,PP54-56,"
51,THE HII REGIONS AS DISTANCE INDICATORS.
51,"J.L.SERSIC,   Z.ASTROPHYS.,VOL50,1960,PP168-177,"
51,THE HII REGIONS IN GALAXIES.
51,(the number of HII regions in galaxies)
52,"P.W.HODGE,   ASTR.J.,VOL.72,1967,PP129-133,"
52,A SURVEY OF HII REGIONS IN GALAXIES.
52,"P.W.HODGE,   ASTROPHYS.J.,VOL.155,1969,PP417-428,"
52,THE RADIAL DISTRIBUTION OF HII REGIONS IN SPIRAL
52,GALAXIES.
52,"P.W.HODGE,   ASTROPHYS.J.,VOL.156,1969,PP847-852,"
52,DISTRIBUTION OF NII REGIONS IN IRREGULAR GALAXIES.
52,"P.W.HODGE,   ASTROPHYS.J.SUPPL.SER.,VOL.157,1969,PP73-84,"
52,HII REGIONS IN TWENTY NEARBY GALAXIES.
52,(the number of HII regions in galaxies.)
53,"P.VERON,A.SAUVAYRE,   ANN.ASTROPHYS.,VOL.28,1965,PP698-702,"
53,ETUDES DES GALAXIES EN LUMIERE MONOCHROMATIQUE
53,H ALPHA.II.
53,(the number of HII regions in galaxies)
54,"N.U.MAYALL,   LICK OBS.BULL.,VOL.497,1939,PP33-39,"
54,THE OCCURRENCE OF LAMBDA3727  OII  IN THE SPECTRA
54,OF EXTRAGALACTIC NEBULAE.
54,"M.L.HUMASON,N.U.MAYALL,A.R.SANDAGE,   ASTRON.J.,VOL.61,"
54,"1956,PP97-161,"
54,REDSHIFTS AND MAGNITUDES OF EXTRAGALACTIC NEBULAE.
54,"D.W.WEEDMAN,E.YE.KHACHIKIAN,   ASTROFIZIKA,VOL.4,1968,"
54,PP587-594
54,SPECTRAL OBSERVATIONS OF MARKARIAN'S GALAXIES
54,WITH ULTRAVIOLET CONTINUUM.I.
54,"M.A.ARAKELIAN,E.A.DIBAY,V.F.YESIPOV,   ASTROFIZIKA,VOL.6,"
54,"1970,PP39-48,"
54,THE SPECTRA OF MARKARIAN GALAXIES.I.
54,(the occurrence of emission lines in the spectra)
55,"F.ZWICKY,   ZURICH,L.SPEICH.,1971,"
55,CATALOGUE OF SELECTED COMPACT GALAXIES AND OF
55,POST-ERUPTIVE GALAXIES.
55,(compact galaxies)
56,"B.E.MARKARIAN,   ASTROFIZIKA,VOL.3,1967,PP55-68,"
56,GALAXIES WITH AN ULTRAVIOLET CONTINUUM.
56,"B.E.MARKARIAN,   ASTROFIZIKA,VOL.5,1969,PP443-460,"
56,THE GALAXIES WITH ULTRAVIOLET CONTINUUM.II.
56,"B.E.MARKARIAN,   ASTROFIZIKA,VOL.5,1969,PP581-592,"
56,GALAXIES WITH ULTRAVIOLET CONTINUUM.III.
56,"B.E.MARKARIAN,V.A.LIPOVETSKY,   ASTROFIZIKA,VOL.7,1971,"
56,"PP511-520,"
56,GALAXIES WITH ULTRAVIOLET CONTINUUM.IV.
56,"B.YE.MARKARIAN,V.A.LIPOVETSKY,   ASTROFIZIKA,VOL.8,1972,"
56,"PP155-176,"
56,GALAXIES WITH ULTRAVIOLET CONTINUUM.V.
56,"B.YE.MARKARIAN,V.A.LIPOVETSKY,   ASTROFIZIKA,VOL.9,1973,"
56,"PP487-494,"
56,GALAXIES WITH ULTRAVIOLET CONTINUUM.VI.
56,"B.E.MARKARIAN,V.A.LIPOVETSKY,   ASTROFIZIKA,VOL.10,1974,"
56,"PP307-314,"
56,GALAXIES WITH ULTRAVIOLET CONTINUUM.VII.
56,"B.E.MARKARIAN,V.A.LIPOVETSKY,   ASTROFIZIKA,VOL.12,1976,"
56,"PP389-396,"
56,GALAXIES WITH ULTRAVIOLET CONTINUUM.VIII.
56,"B.E.MARKARIAN,V.A.LIPOVETSKY,   ASTROFIZIKA,VOL.12,1976,"
56,"PP657-664,"
56,GALAXIES WITH ULTRAVIOLET CONTINUUM.IX.
56,"B.E.MARKARIAN,V.A.LIPOVETSKY,J.A.STEPANIAN,   ASTROFIZIKA,"
56,"VOL.13,1977,PP225-232,"
56,GALAXIES WITH ULTRAVIOLET CONTINUUM.X.
56,"B.E.MARKARIAN,V.A.LIPOVETSKY,J.A.STEPANIAN,   ASTROFIZIKA,"
56,"VOL.13,1977,PP397-404,"
56,GALAXIES WITH ULTRAVIOLET CONTINUUM.XI.
56,"B.E.MARKARIAN,V.A.LIPOVETSKY,J.A.STEPANIAN,   ASTROFIZIKA,"
56,"VOL.15,1979,PP201-208,"
56,GALAXIES WITH ULTRAVIOLET CONTINUUM.XII.
56,"B.E.MARKARIAN,V.A.LIPOVETSKY,J.A.STEPANIAN,   ASTROFIZIKA,"
56,"VOL.15,1979,PP363-372,"
56,GALAXIES WITH ULTRAVIOLET CONTINUUM.XIII.
56,"B.E.MARKARIAN,V.A.LIPOVETSKY,J.A.STEPANIAN,   ASTROFIZIKA,"
56,"VOL.15,1979,PP549-556,"
56,GALAXIES WITH ULTRAVIOLET CONTINUUM.XIV.
56,"B.E.MARKARIAN,V.A.LIPOVETSKY,J.A.STEPANIAN,   ASTROFIZIKA,"
56,"VOL.17,1981,PP619-627,"
56,GALAXIES WITH ULTRAVIOLET CONTINUUM.XV.
56,(galaxies with ultraviolet continuum)
57,"I.D.KARACHENTSEV,   SOOBSHCH.SPETS.ASTR.OBS.AKAD.NAUK SSSR,"
57,"VOL.7,1972,PP3-91"
57,CATALOGUE OF ISOLATED PAIRS OF GALAXIES IN
57,NORTHERN HEMISPHERE.
